pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-16-024,SHA-16-024,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13.9,1957-1958,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and al Min'am Najjar and others,,yes,no,no
SHA-16-025,SHA-16-025,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 9.6,1957-1959,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and classmates,,yes,yes,yes
SHA-17-001,SHA-17-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 11.9 by 16.8,1964,Kuwait,Abdel Aziz Muhammad Daoud in theater,,yes,no,no
SHA-17-002,SHA-17-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 11.9 by 16.8,1964,Kuwait,Two Kuwaiti officials,,yes,no,no
SHA-17-003,SHA-17-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,group of men after concert,,yes,no,no
SHA-17-004,SHA-17-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,group of men including 'Ala al Din Hamza Muhammad Dafallah and Ahmed Hassan Jum'a,,yes,no,no
SHA-17-005,SHA-17-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Mirghani al Mamoun and Ahmed Hassan Jum'a recording on Radio Kuwait,,yes,yes,yes
SHA-17-006,SHA-17-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13.1 by 17.8,1964,Kuwait,Ahmed Hassan Jum'a,,yes,no,no
SHA-17-007,SHA-17-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13.1 by 17.8,1964,Kuwait,musician who performed with Ahmed Hassan Jum'a,,yes,no,no
SHA-17-008,SHA-17-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,crowd at concert of Mirghani al Mamoun and Ahmed Hassan Jum'a,,yes,no,no
SHA-17-009,SHA-17-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Ahmed al Mustafa with 'oud,,yes,no,no
SHA-17-010,SHA-17-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Abdel Aziz Muhammad Daoud with Kuwaiti singer ,,yes,no,no
SHA-17-011,SHA-17-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 11.9 by 16.8,1964,Kuwait,crowd of Kuwaitis,,yes,no,no
SHA-17-012,SHA-17-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13.1 by 17.8,1964,Kuwait,Kuwaiti official,,yes,no,no
SHA-17-013,SHA-17-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Sayed Khalifa on Kuwaiti Radio,,yes,no,no
SHA-17-014,SHA-17-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 12 by 16.8,1964,Kuwait,Ahmed al Sharif al Habib commander of Sudanese troops stationed in Kuwait and Kuwaiti officials,,yes,no,no
SHA-17-015,SHA-17-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 18.1,1964,Kuwait,Mirghani al Mamoun and Ahmed Hassan Jum'a on Kuwaiti radio,,yes,no,no
