pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-11-010,SHA-11-010,ar,,شرحبيل احمد,شرحبيل احمد,جورق كوبلير,photograph 12.1 by 16.2,1966,اثيوبيا، اديس ابابا,عزف فرقة هرامبي,,yes,no,no
SHA-11-011,SHA-11-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12 by 16,1966,اثيوبيا، اديس ابابا,عزف فرقة هرامبي,,yes,no,no
SHA-11-012,SHA-11-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 15.9 by 20.3,1966,اثيوبيا، اديس ابابا,عزف فرقة هرامبي,,yes,no,no
SHA-11-013,SHA-11-013,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 15.5 by 20.6,1966,كينيا، نيروبي,السفير السوداني سيد مرغني ومسؤلين كينيي في استقبال فرقة هرامبي,,yes,no,no
SHA-11-014,SHA-11-014,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 15.7 by 20.6,1966,اثيوبيا، اديس ابابا,هايلي سيلاسي مع اعصضاء من فرقة هرامبي لوسي مورو وماغدالين انيانغو,,yes,no,no
SHA-11-015,SHA-11-015,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 15.7 by 20.6,1966,اثيوبيا، اديس ابابا,استقبال فرقة هرامبي في المطار مع الاسد,,yes,no,no
SHA-11-016,SHA-11-016,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 15.4 by 20.4,1966,الخرطوم,استقبال فرقة هرامبي مع صادق المهدي,,yes,no,no
SHA-11-017,SHA-11-017,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.7,1966,اثيوبيا، اديس ابابا,استقبال هرامبي في المطار مع الاسد,,yes,no,no
SHA-11-018,SHA-11-018,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.3 by 16.5,1966,الخرطوم,استقبال فرقة هرامبي مع زعيم الازهري,,yes,no,no
SHA-11-019,SHA-11-019,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 11.6 by 17.7,1966,اثيوبيا، اديس ابابا,نقل هايلي سيلاسي,,yes,no,no
SHA-11-020,SHA-11-020,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 11.6 by 16.4,1966,اثيوبيا، اديس ابابا,عزف فرقة هرامبي,,yes,no,no
SHA-11-021,SHA-11-021,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 11.4 by 18.1,1966,اثيوبيا، اديس ابابا,مجموعة من الجنود,,yes,no,no
SHA-11-022,SHA-11-022,ar,,شرحبيل احمد,شرحبيل احمد,جورق كوبلير,photograph 15.8 by 20.7,1966,اثيوبيا، اديس ابابا,قائد القوات الجوية ابيرا ماريام وعضوء من فرقة هرامبي,,yes,no,no
SHA-11-023,SHA-11-023,ar,,شرحبيل احمد,شرحبيل احمد,وزارة الاعلام السوداني,photograph 14.6 by 19.8,1966,اثيوبيا، اديس ابابا,عزف فرقة هرامبي,,yes,no,no
SHA-11-024,SHA-11-024,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 16.6 by 22.4,18/3/1966,اثيوبيا، باشوفتو مطار عسكري,استقبال فرقة هرامبي في المطار,,yes,no,no
SHA-12-001,SHA-12-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.9 by 12.8,1988,الخرطوم، قاعة الصداقة,عزف شرحبيل احمد وهاري بلفونتي,,yes,no,no
SHA-12-002,SHA-12-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9.4 by 13.3,1960s,الخرطوم,شرحبيل احمد وفرقته من ضمنهم زكية ابو القاسم,,yes,no,no
SHA-12-003,SHA-12-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-12-004,SHA-12-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-12-005,SHA-12-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-12-006,SHA-12-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-12-007,SHA-12-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9.9 by 15.1,1988,الامارات، العين,شرحبيل احمد واثنين اخرين في حافلة,,yes,no,no
SHA-12-008,SHA-12-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 12.6,1984,ليبيا,شرحبيل احمد وجيلان الواثق,,yes,no,no
SHA-12-009,SHA-12-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.6 by 13.8,1957-1958,مصر، المنوفية، سرس الليان,شرحبيل احمد وكامل حسين,,yes,no,no
SHA-12-010,SHA-12-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 12.6,1984,ليبيا,جمهور في حفل شرحبيل احمد,,yes,no,no
SHA-12-011,SHA-12-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 12.6,1984,ليبيا,شرحبيل احمد وفرقته مع سخص اخر,,yes,no,no
